Task,Variation,Phase0,Phase1,Phase2,Phase3,Phase4,Phase5,Phase6,Phase7,Phase8,Phase9,Phase10,Phase11,Phase12,Phase13,Phase14,Phase15,Phase16,Phase17,Phase18,Phase19,Phase20,Phase21,Phase22,Phase23,Phase24,Phase25,Phase26,Phase27,Phase28,Phase29,Phase30,Phase31,Phase32,Phase33
basketball_in_hoop,0,approach,grasp,lift,transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beat_the_buzz,0,approach,grasp,lift,transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
change_channel,0,approach,grasp,lift,transfer,place,approach,press,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,approach,grasp,lift,transfer,place,approach,press,,,,,,,,,,,,,,,,,,,,,,,,,,,
change_clock,0,approach,grasp,rotate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close_box,0,approach,grasp,flip-close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close_door,0,approach,grasp,revolve-out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close_drawer,0,approach,push,push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,approach,push,push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,approach,push,push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close_fridge,0,approach,revolve-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close_grill,0,approach,grasp,flip-close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close_jar,0,grasp,lift,transfer,place,rotate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,grasp,lift,transfer,place,rotate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,grasp,lift,transfer,place,rotate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,grasp,lift,transfer,place,rotate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,grasp,lift,transfer,place,rotate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close_laptop_lid,0,grasp,flip-close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
close_microwave,0,approach,revolve-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
get_ice_from_fridge,0,approach,grasp,lift,transfer,press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
